chargeback_id,payment_id,merchant_id,chargeback_reason,amount,status,created_at,resolved_at
CBK000001,PAY0000458,MER000018,Service Not Received,44848,Resolved,2025-10-16 03:01:00,2025-10-21 03:01:00
CBK000002,PAY0000192,MER000028,Duplicate Charge,33618,Accepted,2025-07-12 02:37:00,2025-07-14 02:37:00
CBK000003,PAY0001331,MER000070,Processing Error,14946,Raised,2025-09-08 00:35:00,
CBK000004,PAY0000327,MER000055,Cardholder Dispute,18710,Resolved,2025-04-04 18:17:00,2025-04-06 18:17:00
CBK000005,PAY0000190,MER000049,Service Not Received,24026,Under Review,2024-06-08 06:48:00,
CBK000006,PAY0000941,MER000069,Service Not Received,25307,Resolved,2024-12-18 19:16:00,2024-12-31 19:16:00
CBK000007,PAY0000741,MER000025,Service Not Received,3503,Resolved,2024-03-21 17:18:00,2024-04-01 17:18:00
CBK000008,PAY0000164,MER000030,Service Not Received,25411,Under Review,2025-11-08 07:49:00,
CBK000009,PAY0000759,MER000046,Duplicate Charge,44420,Resolved,2024-10-11 14:40:00,2024-10-15 14:40:00
CBK000010,PAY0001248,MER000022,Duplicate Charge,11208,Rejected,2024-09-30 22:59:00,2024-10-03 22:59:00
CBK000011,PAY0001410,MER000029,Cardholder Dispute,4165,Resolved,2025-04-18 12:17:00,2025-04-30 12:17:00
CBK000012,PAY0000549,MER000009,Duplicate Charge,37670,Under Review,2024-08-22 01:51:00,
CBK000013,PAY0000940,MER000019,Unauthorized Payment,9650,Accepted,2024-11-18 06:41:00,2024-11-30 06:41:00
CBK000014,PAY0001198,MER000055,Processing Error,24223,Accepted,2024-09-09 23:35:00,2024-09-22 23:35:00
CBK000015,PAY0000097,MER000015,Product Not Received,41620,Accepted,2024-08-12 04:32:00,2024-08-26 04:32:00
CBK000016,PAY0000782,MER000060,Unauthorized Payment,36756,Accepted,2024-06-12 21:27:00,2024-06-20 21:27:00
CBK000017,PAY0001100,MER000035,Cardholder Dispute,7810,Raised,2024-01-12 21:46:00,
CBK000018,PAY0001474,MER000034,Product Not Received,33771,Accepted,2024-10-27 13:10:00,2024-11-09 13:10:00
CBK000019,PAY0001248,MER000026,Product Not Received,25004,Resolved,2024-04-18 20:19:00,2024-04-28 20:19:00
CBK000020,PAY0001227,MER000042,Merchant Misrepresentation,1776,Resolved,2024-06-14 17:49:00,2024-06-16 17:49:00
CBK000021,PAY0000630,MER000031,Fraudulent Transaction,16285,Resolved,2024-04-24 11:56:00,2024-05-08 11:56:00
CBK000022,PAY0000142,MER000069,Product Not Received,8914,Resolved,2025-08-03 02:05:00,2025-08-18 02:05:00
CBK000023,PAY0001081,MER000055,Duplicate Charge,35843,Raised,2025-11-06 15:35:00,
CBK000024,PAY0001376,MER000048,Merchant Misrepresentation,34419,Under Review,2024-07-24 22:19:00,
CBK000025,PAY0000693,MER000003,Duplicate Charge,39064,Under Review,2025-04-07 03:15:00,
CBK000026,PAY0000469,MER000009,Fraudulent Transaction,22154,Resolved,2024-08-13 00:04:00,2024-08-15 00:04:00
CBK000027,PAY0000995,MER000028,Product Not Received,47905,Under Review,2024-03-13 16:15:00,
CBK000028,PAY0000969,MER000053,Duplicate Charge,6681,Under Review,2025-08-07 18:30:00,
CBK000029,PAY0000842,MER000060,Fraudulent Transaction,44629,Under Review,2024-04-09 21:27:00,
CBK000030,PAY0001492,MER000044,Service Not Received,16795,Raised,2025-10-31 20:06:00,
CBK000031,PAY0000376,MER000036,Merchant Misrepresentation,16871,Accepted,2024-07-15 06:34:00,2024-07-23 06:34:00
CBK000032,PAY0000201,MER000007,Fraudulent Transaction,6612,Resolved,2024-03-18 14:51:00,2024-03-28 14:51:00
CBK000033,PAY0000822,MER000008,Product Not Received,25336,Accepted,2024-08-30 05:26:00,2024-09-04 05:26:00
CBK000034,PAY0000932,MER000037,Processing Error,46151,Resolved,2024-01-03 12:16:00,2024-01-17 12:16:00
CBK000035,PAY0000608,MER000028,Fraudulent Transaction,38457,Accepted,2025-07-23 21:45:00,2025-07-28 21:45:00
CBK000036,PAY0000103,MER000062,Product Not Received,4227,Under Review,2025-07-09 01:47:00,
CBK000037,PAY0001219,MER000009,Duplicate Charge,26961,Raised,2025-06-04 02:54:00,
CBK000038,PAY0001269,MER000011,Processing Error,43581,Accepted,2024-05-02 18:15:00,2024-05-04 18:15:00
CBK000039,PAY0000535,MER000027,Cardholder Dispute,16142,Under Review,2025-08-20 18:33:00,
CBK000040,PAY0000937,MER000041,Service Not Received,1110,Rejected,2024-09-28 12:08:00,2024-10-04 12:08:00
CBK000041,PAY0001102,MER000028,Unauthorized Payment,9180,Resolved,2025-04-14 19:36:00,2025-04-17 19:36:00
