invoice_id,merchant_id,customer_id,invoice_number,invoice_amount,currency,due_date,invoice_status,created_at,paid_at
INV0000001,MER000015,CUS000007,INV-2024-000001,26050,INR,2024-08-26,Paid,2024-08-16 04:47:00,2024-08-24 04:47:00
INV0000002,MER000012,CUS000152,INV-2024-000002,1489,INR,2024-04-28,Paid,2024-04-05 06:14:00,2024-04-22 06:14:00
INV0000003,MER000026,CUS000184,INV-2024-000003,9929,INR,2025-03-30,Paid,2025-03-05 07:28:00,2025-03-05 07:28:00
INV0000004,MER000021,CUS000179,INV-2024-000004,5553,INR,2024-06-25,Paid,2024-06-08 06:48:00,2024-06-20 06:48:00
INV0000005,MER000013,CUS000092,INV-2024-000005,49566,INR,2024-10-18,Paid,2024-09-27 01:46:00,2024-10-09 01:46:00
INV0000006,MER000011,CUS000142,INV-2024-000006,6926,INR,2025-08-23,Paid,2025-08-14 06:45:00,2025-08-17 06:45:00
INV0000007,MER000038,CUS000021,INV-2024-000007,16620,INR,2025-02-20,Pending,2025-01-24 08:29:00,
INV0000008,MER000021,CUS000095,INV-2024-000008,5375,INR,2025-12-26,Paid,2025-11-30 20:04:00,2025-12-17 20:04:00
INV0000009,MER000032,CUS000042,INV-2024-000009,5423,INR,2025-10-31,Paid,2025-10-17 22:35:00,2025-10-30 22:35:00
INV0000010,MER000008,CUS000059,INV-2024-000010,30674,INR,2025-02-27,Partially Paid,2025-02-14 08:04:00,2025-02-23 08:04:00
INV0000011,MER000041,CUS000055,INV-2024-000011,7483,INR,2025-11-04,Paid,2025-10-20 14:09:00,2025-10-28 14:09:00
INV0000012,MER000055,CUS000230,INV-2024-000012,6931,INR,2024-09-03,Paid,2024-08-12 04:32:00,2024-08-13 04:32:00
INV0000013,MER000015,CUS000040,INV-2024-000013,7917,INR,2025-09-21,Paid,2025-09-02 02:24:00,2025-09-16 02:24:00
INV0000014,MER000068,CUS000065,INV-2024-000014,53010,INR,2025-12-25,Partially Paid,2025-11-27 23:07:00,2025-12-21 23:07:00
INV0000015,MER000035,CUS000197,INV-2024-000015,2828,INR,2024-11-17,Paid,2024-10-27 13:10:00,2024-11-04 13:10:00
INV0000016,MER000065,CUS000196,INV-2024-000016,208,INR,2025-10-29,Paid,2025-10-02 09:53:00,2025-10-08 09:53:00
INV0000017,MER000020,CUS000096,INV-2024-000017,45349,INR,2025-07-14,Paid,2025-06-27 00:38:00,2025-06-30 00:38:00
INV0000018,MER000047,CUS000225,INV-2024-000018,130613,INR,2024-09-27,Overdue,2024-09-02 01:15:00,
INV0000019,MER000011,CUS000188,INV-2024-000019,2134,INR,2025-07-27,Paid,2025-06-29 04:08:00,2025-07-16 04:08:00
INV0000020,MER000022,CUS000068,INV-2024-000020,7933,INR,2024-09-03,Paid,2024-08-04 17:48:00,2024-08-26 17:48:00
INV0000021,MER000040,CUS000103,INV-2024-000021,220362,INR,2025-02-09,Paid,2025-01-17 14:57:00,2025-01-24 14:57:00
INV0000022,MER000029,CUS000017,INV-2024-000022,4771,INR,2025-09-03,Pending,2025-08-25 07:00:00,
INV0000023,MER000008,CUS000059,INV-2024-000023,132,INR,2024-12-18,Paid,2024-12-04 02:32:00,2024-12-11 02:32:00
INV0000024,MER000028,CUS000139,INV-2024-000024,684,INR,2025-09-04,Pending,2025-08-13 15:15:00,
INV0000025,MER000025,CUS000025,INV-2024-000025,541,INR,2025-01-18,Partially Paid,2024-12-28 13:26:00,2024-12-29 13:26:00
INV0000026,MER000013,CUS000016,INV-2024-000026,6560,INR,2024-05-04,Paid,2024-04-21 07:12:00,2024-04-23 07:12:00
INV0000027,MER000055,CUS000047,INV-2024-000027,5093,INR,2024-04-11,Paid,2024-03-18 14:51:00,2024-04-07 14:51:00
INV0000028,MER000070,CUS000215,INV-2024-000028,195,INR,2024-09-21,Paid,2024-08-30 05:26:00,2024-09-11 05:26:00
INV0000029,MER000008,CUS000043,INV-2024-000029,7397,INR,2024-10-18,Paid,2024-09-28 14:18:00,2024-10-15 14:18:00
INV0000030,MER000063,CUS000040,INV-2024-000030,322,INR,2024-03-24,Paid,2024-02-29 18:47:00,2024-03-10 18:47:00
INV0000031,MER000008,CUS000013,INV-2024-000031,9239,INR,2025-07-20,Paid,2025-06-27 05:03:00,2025-07-02 05:03:00
INV0000032,MER000009,CUS000153,INV-2024-000032,982,INR,2024-09-22,Paid,2024-08-28 12:07:00,2024-09-16 12:07:00
INV0000033,MER000006,CUS000159,INV-2024-000033,773,INR,2025-09-06,Overdue,2025-08-20 18:33:00,
INV0000034,MER000027,CUS000172,INV-2024-000034,25643,INR,2024-10-26,Paid,2024-09-28 12:08:00,2024-10-12 12:08:00
INV0000035,MER000041,CUS000238,INV-2024-000035,14755,INR,2024-02-04,Cancelled,2024-01-10 14:39:00,
INV0000036,MER000010,CUS000138,INV-2024-000036,5346,INR,2024-05-24,Partially Paid,2024-05-15 11:56:00,2024-05-20 11:56:00
INV0000037,MER000037,CUS000041,INV-2024-000037,9901,INR,2024-12-02,Paid,2024-11-05 19:51:00,2024-11-26 19:51:00
INV0000038,MER000039,CUS000239,INV-2024-000038,3201,INR,2024-10-07,Pending,2024-09-27 03:56:00,
INV0000039,MER000020,CUS000070,INV-2024-000039,4451,INR,2025-01-13,Partially Paid,2024-12-17 06:43:00,2025-01-02 06:43:00
INV0000040,MER000063,CUS000065,INV-2024-000040,13330,INR,2024-04-19,Paid,2024-04-04 20:27:00,2024-04-14 20:27:00
INV0000041,MER000017,CUS000164,INV-2024-000041,92358,INR,2025-04-17,Paid,2025-03-28 17:45:00,2025-03-31 17:45:00
INV0000042,MER000010,CUS000242,INV-2024-000042,19769,INR,2025-07-30,Paid,2025-07-12 01:53:00,2025-07-16 01:53:00
