attempt_id,payment_id,gateway_id,attempt_number,attempt_status,failure_reason,started_at,completed_at
ATT0000001,PAY0001310,GTW004,1,Success,,2024-09-07 07:08:47,2024-09-07 07:08:51
ATT0000002,PAY0001386,GTW018,1,Success,,2024-02-02 00:05:13,2024-02-02 00:05:21
ATT0000003,PAY0001035,GTW020,1,Success,,2025-10-27 22:34:26,2025-10-27 22:34:34
ATT0000004,PAY0000920,GTW019,2,Failed,Invalid OTP,2024-01-07 05:44:27,2024-01-07 05:44:38
ATT0000005,PAY0000319,GTW007,2,Success,,2025-01-24 03:22:54,2025-01-24 03:23:06
ATT0000006,PAY0001237,GTW009,1,Success,,2025-07-03 03:59:24,2025-07-03 03:59:27
ATT0000007,PAY0001131,GTW010,3,Success,,2025-01-05 18:12:45,2025-01-05 18:12:48
ATT0000008,PAY0000094,GTW008,2,Failed,Card Expired,2024-08-26 03:24:17,2024-08-26 03:24:32
ATT0000009,PAY0000334,GTW012,2,Success,,2024-09-30 22:59:43,2024-09-30 22:59:46
ATT0000010,PAY0001248,GTW006,3,Success,,2024-06-16 14:24:17,2024-06-16 14:24:35
ATT0000011,PAY0000450,GTW011,1,Success,,2024-02-02 10:25:17,2024-02-02 10:25:20
ATT0000012,PAY0000433,GTW019,3,Success,,2025-11-02 15:25:56,2025-11-02 15:26:11
ATT0000013,PAY0000293,GTW009,1,Success,,2025-07-28 17:16:47,2025-07-28 17:17:06
ATT0000014,PAY0000878,GTW019,2,Success,,2024-05-21 16:31:05,2024-05-21 16:31:07
ATT0000015,PAY0000225,GTW005,3,Success,,2025-11-27 13:38:04,2025-11-27 13:38:17
ATT0000016,PAY0000782,GTW020,2,Success,,2025-07-20 00:43:46,2025-07-20 00:43:50
ATT0000017,PAY0001397,GTW018,2,Success,,2024-12-14 03:18:27,2024-12-14 03:18:33
ATT0000018,PAY0000930,GTW001,3,Failed,Bank Timeout,2024-09-26 16:48:11,2024-09-26 16:48:28
ATT0000019,PAY0001281,GTW010,3,Success,,2024-07-22 04:23:48,2024-07-22 04:23:54
ATT0000020,PAY0001105,GTW017,1,Success,,2025-05-15 00:07:59,2025-05-15 00:08:11
ATT0000021,PAY0000630,GTW008,1,Success,,2025-08-03 02:05:46,2025-08-03 02:06:02
ATT0000022,PAY0000142,GTW018,1,Success,,2025-05-01 17:10:16,2025-05-01 17:10:33
ATT0000023,PAY0001243,GTW014,1,Failed,Daily Limit Exceeded,2024-07-24 22:19:25,2024-07-24 22:19:37
ATT0000024,PAY0001060,GTW015,1,Success,,2024-03-06 10:01:37,2024-03-06 10:01:55
ATT0000025,PAY0000472,GTW019,1,Success,,2025-10-08 01:14:04,2025-10-08 01:14:06
ATT0000026,PAY0000677,GTW003,3,Success,,2025-11-16 15:13:34,2025-11-16 15:13:39
ATT0000027,PAY0001482,GTW019,3,Success,,2025-04-29 13:12:06,2025-04-29 13:12:10
ATT0000028,PAY0001350,GTW014,2,Success,,2025-04-23 23:03:43,2025-04-23 23:03:47
ATT0000029,PAY0000125,GTW013,3,Success,,2024-04-21 07:12:12,2024-04-21 07:12:30
ATT0000030,PAY0000919,GTW005,2,Success,,2025-04-18 07:55:59,2025-04-18 07:56:02
ATT0000031,PAY0000908,GTW018,1,Success,,2025-07-07 00:05:59,2025-07-07 00:06:07
ATT0000032,PAY0000341,GTW014,2,Success,,2025-02-14 01:10:24,2025-02-14 01:10:25
ATT0000033,PAY0000800,GTW009,2,Success,,2025-07-23 21:45:31,2025-07-23 21:45:36
ATT0000034,PAY0000389,GTW010,1,Failed,Insufficient Funds,2025-08-16 23:34:03,2025-08-16 23:34:14
ATT0000035,PAY0000103,GTW019,2,Success,,2025-06-27 05:03:32,2025-06-27 05:03:35
ATT0000036,PAY0000381,GTW003,3,Success,,2024-08-28 12:07:56,2024-08-28 12:08:15
ATT0000037,PAY0000505,GTW019,3,Success,,2024-03-24 13:42:37,2024-03-24 13:42:56
ATT0000038,PAY0001071,GTW011,2,Success,,2024-11-17 07:16:25,2024-11-17 07:16:30
ATT0000039,PAY0001376,GTW010,2,Success,,2024-03-15 00:29:39,2024-03-15 00:29:58
ATT0000040,PAY0000205,GTW003,3,Success,,2024-09-28 04:59:22,2024-09-28 04:59:25
ATT0000041,PAY0000501,GTW012,2,Success,,2025-07-10 22:19:39,2025-07-10 22:19:56
ATT0000042,PAY0000017,GTW018,2,Failed,Fraud Check Failed,2024-04-16 04:16:07,2024-04-16 04:16:11
ATT0000043,PAY0000319,GTW009,2,Success,,2024-12-17 06:43:40,2024-12-17 06:43:49
ATT0000044,PAY0001036,GTW016,2,Failed,Insufficient Funds,2024-02-22 02:40:27,2024-02-22 02:40:36
ATT0000045,PAY0000008,GTW011,1,Success,,2024-09-25 05:47:28,2024-09-25 05:47:46
ATT0000046,PAY0001446,GTW014,3,Success,,2024-03-18 22:57:09,2024-03-18 22:57:27
ATT0000047,PAY0000074,GTW012,3,Success,,2025-03-16 04:02:19,2025-03-16 04:02:31
ATT0000048,PAY0000082,GTW012,1,Success,,2025-11-13 03:22:49,2025-11-13 03:23:07
ATT0000049,PAY0000833,GTW020,3,Success,,2024-08-30 05:51:51,2024-08-30 05:51:57
ATT0000050,PAY0000845,GTW001,1,Success,,2024-12-06 13:51:42,2024-12-06 13:51:50
ATT0000051,PAY0000547,GTW006,3,Success,,2024-02-09 15:14:12,2024-02-09 15:14:27
ATT0000052,PAY0000717,GTW010,1,Success,,2025-11-06 06:25:21,2025-11-06 06:25:30
ATT0000053,PAY0000143,GTW009,2,Success,,2025-02-13 21:53:34,2025-02-13 21:53:45
ATT0000054,PAY0000057,GTW004,2,Success,,2024-09-28 01:06:38,2024-09-28 01:06:52
ATT0000055,PAY0000708,GTW011,2,Success,,2025-06-07 03:24:57,2025-06-07 03:25:16
ATT0000056,PAY0000390,GTW009,1,Success,,2024-01-02 16:59:51,2024-01-02 17:00:09
ATT0000057,PAY0001407,GTW007,2,Success,,2025-11-11 10:39:20,2025-11-11 10:39:24
ATT0000058,PAY0001475,GTW010,3,Success,,2025-02-22 10:25:44,2025-02-22 10:25:54
