event_id,payment_id,event_type,previous_status,current_status,event_timestamp,gateway_response_code,gateway_message,retry_count
EVT00000001,PAY0000001,PaymentCreated,NULL,Created,2025-10-16 03:01:00,100,Payment initiated,0
EVT00000002,PAY0000001,PaymentAuthorized,Created,Authorized,2025-10-16 03:03:00,200,Authorization successful,1
EVT00000003,PAY0000001,PaymentCaptured,Authorized,Captured,2025-10-16 03:05:00,201,Payment captured,2
EVT00000004,PAY0000001,PaymentSettled,Captured,Settled,2025-10-16 03:07:00,202,Settlement completed,3
EVT00000005,PAY0000002,PaymentCreated,NULL,Created,2024-09-07 07:08:00,100,Payment initiated,0
EVT00000006,PAY0000002,PaymentAuthorized,Created,Authorized,2024-09-07 07:10:00,200,Authorization successful,1
EVT00000007,PAY0000002,PaymentCaptured,Authorized,Captured,2024-09-07 07:12:00,201,Payment captured,2
EVT00000008,PAY0000002,PaymentSettled,Captured,Settled,2024-09-07 07:14:00,202,Settlement completed,3
EVT00000009,PAY0000003,PaymentCreated,NULL,Created,2025-11-23 23:57:00,100,Payment initiated,0
EVT00000010,PAY0000003,PaymentAuthorized,Created,Authorized,2025-11-23 23:59:00,200,Authorization successful,1
EVT00000011,PAY0000003,PaymentCaptured,Authorized,Captured,2025-11-24 00:01:00,201,Payment captured,2
EVT00000012,PAY0000003,PaymentSettled,Captured,Settled,2025-11-24 00:03:00,202,Settlement completed,3
EVT00000013,PAY0000004,PaymentCreated,NULL,Created,2025-08-27 13:02:00,100,Payment initiated,0
EVT00000014,PAY0000004,PaymentAuthorized,Created,Authorized,2025-08-27 13:04:00,200,Authorization successful,1
EVT00000015,PAY0000004,PaymentFailed,Authorized,Failed,2025-08-27 13:06:00,500,Transaction failed,2
EVT00000016,PAY0000005,PaymentCreated,NULL,Created,2024-08-11 07:32:00,100,Payment initiated,0
EVT00000017,PAY0000005,PaymentAuthorized,Created,Authorized,2024-08-11 07:34:00,200,Authorization successful,1
EVT00000018,PAY0000005,PaymentCaptured,Authorized,Captured,2024-08-11 07:36:00,201,Payment captured,2
EVT00000019,PAY0000005,PaymentSettled,Captured,Settled,2024-08-11 07:38:00,202,Settlement completed,3
EVT00000020,PAY0000006,PaymentCreated,NULL,Created,2025-07-28 06:45:00,100,Payment initiated,0
EVT00000021,PAY0000006,PaymentAuthorized,Created,Authorized,2025-07-28 06:47:00,200,Authorization successful,1
EVT00000022,PAY0000006,PaymentCaptured,Authorized,Captured,2025-07-28 06:49:00,201,Payment captured,2
EVT00000023,PAY0000006,PaymentSettled,Captured,Settled,2025-07-28 06:51:00,202,Settlement completed,3
EVT00000024,PAY0000007,PaymentCreated,NULL,Created,2025-07-12 13:14:00,100,Payment initiated,0
EVT00000025,PAY0000007,PaymentAuthorized,Created,Authorized,2025-07-12 13:16:00,200,Authorization successful,1
EVT00000026,PAY0000007,PaymentCaptured,Authorized,Captured,2025-07-12 13:18:00,201,Payment captured,2
EVT00000027,PAY0000007,PaymentSettled,Captured,Settled,2025-07-12 13:20:00,202,Settlement completed,3
EVT00000028,PAY0000008,PaymentCreated,NULL,Created,2024-10-11 00:48:00,100,Payment initiated,0
EVT00000029,PAY0000008,PaymentAuthorized,Created,Authorized,2024-10-11 00:50:00,200,Authorization successful,1
EVT00000030,PAY0000008,PaymentCaptured,Authorized,Captured,2024-10-11 00:52:00,201,Payment captured,2
EVT00000031,PAY0000008,PaymentSettled,Captured,Settled,2024-10-11 00:54:00,202,Settlement completed,3
EVT00000032,PAY0000009,PaymentCreated,NULL,Created,2025-03-08 10:17:00,100,Payment initiated,0
EVT00000033,PAY0000009,PaymentAuthorized,Created,Authorized,2025-03-08 10:19:00,200,Authorization successful,1
EVT00000034,PAY0000009,PaymentCaptured,Authorized,Captured,2025-03-08 10:21:00,201,Payment captured,2
EVT00000035,PAY0000009,PaymentSettled,Captured,Settled,2025-03-08 10:23:00,202,Settlement completed,3
EVT00000036,PAY0000010,PaymentCreated,NULL,Created,2024-12-10 03:05:00,100,Payment initiated,0
EVT00000037,PAY0000010,PaymentAuthorized,Created,Authorized,2024-12-10 03:07:00,200,Authorization successful,1
EVT00000038,PAY0000010,PaymentCaptured,Authorized,Captured,2024-12-10 03:09:00,201,Payment captured,2
EVT00000039,PAY0000010,PaymentSettled,Captured,Settled,2024-12-10 03:11:00,202,Settlement completed,3
EVT00000040,PAY0000011,PaymentCreated,NULL,Created,2025-01-02 11:38:00,100,Payment initiated,0
EVT00000041,PAY0000011,PaymentAuthorized,Created,Authorized,2025-01-02 11:40:00,200,Authorization successful,1
EVT00000042,PAY0000011,PaymentCaptured,Authorized,Captured,2025-01-02 11:42:00,201,Payment captured,2
EVT00000043,PAY0000011,PaymentSettled,Captured,Settled,2025-01-02 11:44:00,202,Settlement completed,3
EVT00000044,PAY0000012,PaymentCreated,NULL,Created,2024-02-14 23:29:00,100,Payment initiated,0
EVT00000045,PAY0000012,PaymentAuthorized,Created,Authorized,2024-02-14 23:31:00,200,Authorization successful,1
EVT00000046,PAY0000012,PaymentCaptured,Authorized,Captured,2024-02-14 23:33:00,201,Payment captured,2
EVT00000047,PAY0000012,PaymentSettled,Captured,Settled,2024-02-14 23:35:00,202,Settlement completed,3
EVT00000048,PAY0000013,PaymentCreated,NULL,Created,2025-01-22 02:35:00,100,Payment initiated,0
EVT00000049,PAY0000013,PaymentAuthorized,Created,Authorized,2025-01-22 02:37:00,200,Authorization successful,1
EVT00000050,PAY0000013,PaymentCaptured,Authorized,Captured,2025-01-22 02:39:00,201,Payment captured,2
EVT00000051,PAY0000013,PaymentSettled,Captured,Settled,2025-01-22 02:41:00,202,Settlement completed,3
EVT00000052,PAY0000014,PaymentCreated,NULL,Created,2025-10-05 19:56:00,100,Payment initiated,0
EVT00000053,PAY0000014,PaymentAuthorized,Created,Authorized,2025-10-05 19:58:00,200,Authorization successful,1
EVT00000054,PAY0000014,PaymentCaptured,Authorized,Captured,2025-10-05 20:00:00,201,Payment captured,2
EVT00000055,PAY0000014,PaymentSettled,Captured,Settled,2025-10-05 20:02:00,202,Settlement completed,3
EVT00000056,PAY0000015,PaymentCreated,NULL,Created,2025-08-14 06:45:00,100,Payment initiated,0
EVT00000057,PAY0000015,PaymentAuthorized,Created,Authorized,2025-08-14 06:47:00,200,Authorization successful,1
EVT00000058,PAY0000015,PaymentFailed,Authorized,Failed,2025-08-14 06:49:00,500,Transaction failed,2
EVT00000059,PAY0000016,PaymentCreated,NULL,Created,2025-11-08 07:49:00,100,Payment initiated,0
EVT00000060,PAY0000016,PaymentAuthorized,Created,Authorized,2025-11-08 07:51:00,200,Authorization successful,1
EVT00000061,PAY0000016,PaymentCaptured,Authorized,Captured,2025-11-08 07:53:00,201,Payment captured,2
EVT00000062,PAY0000016,PaymentSettled,Captured,Settled,2025-11-08 07:55:00,202,Settlement completed,3
EVT00000063,PAY0000017,PaymentCreated,NULL,Created,2024-03-22 07:55:00,100,Payment initiated,0
EVT00000064,PAY0000017,PaymentAuthorized,Created,Authorized,2024-03-22 07:57:00,200,Authorization successful,1
EVT00000065,PAY0000017,PaymentFailed,Authorized,Failed,2024-03-22 07:59:00,500,Transaction failed,2
EVT00000066,PAY0000018,PaymentCreated,NULL,Created,2024-10-11 14:40:00,100,Payment initiated,0
EVT00000067,PAY0000018,PaymentAuthorized,Created,Authorized,2024-10-11 14:42:00,200,Authorization successful,1
EVT00000068,PAY0000018,PaymentCaptured,Authorized,Captured,2024-10-11 14:44:00,201,Payment captured,2
EVT00000069,PAY0000018,PaymentSettled,Captured,Settled,2024-10-11 14:46:00,202,Settlement completed,3
EVT00000070,PAY0000019,PaymentCreated,NULL,Created,2024-06-15 11:22:00,100,Payment initiated,0
EVT00000071,PAY0000019,PaymentAuthorized,Created,Authorized,2024-06-15 11:24:00,200,Authorization successful,1
EVT00000072,PAY0000019,PaymentCaptured,Authorized,Captured,2024-06-15 11:26:00,201,Payment captured,2
EVT00000073,PAY0000019,PaymentSettled,Captured,Settled,2024-06-15 11:28:00,202,Settlement completed,3
EVT00000074,PAY0000020,PaymentCreated,NULL,Created,2024-09-30 22:59:00,100,Payment initiated,0
EVT00000075,PAY0000020,PaymentAuthorized,Created,Authorized,2024-09-30 23:01:00,200,Authorization successful,1
EVT00000076,PAY0000020,PaymentCaptured,Authorized,Captured,2024-09-30 23:03:00,201,Payment captured,2
EVT00000077,PAY0000020,PaymentSettled,Captured,Settled,2024-09-30 23:05:00,202,Settlement completed,3
EVT00000078,PAY0000021,PaymentCreated,NULL,Created,2024-03-14 19:40:00,100,Payment initiated,0
EVT00000079,PAY0000021,PaymentAuthorized,Created,Authorized,2024-03-14 19:42:00,200,Authorization successful,1
EVT00000080,PAY0000021,PaymentCaptured,Authorized,Captured,2024-03-14 19:44:00,201,Payment captured,2
EVT00000081,PAY0000021,PaymentSettled,Captured,Settled,2024-03-14 19:46:00,202,Settlement completed,3
EVT00000082,PAY0000022,PaymentCreated,NULL,Created,2024-09-07 05:29:00,100,Payment initiated,0
EVT00000083,PAY0000022,PaymentAuthorized,Created,Authorized,2024-09-07 05:31:00,200,Authorization successful,1
EVT00000084,PAY0000022,PaymentCaptured,Authorized,Captured,2024-09-07 05:33:00,201,Payment captured,2
EVT00000085,PAY0000022,PaymentSettled,Captured,Settled,2024-09-07 05:35:00,202,Settlement completed,3
EVT00000086,PAY0000023,PaymentCreated,NULL,Created,2025-10-17 22:35:00,100,Payment initiated,0
EVT00000087,PAY0000023,PaymentAuthorized,Created,Authorized,2025-10-17 22:37:00,200,Authorization successful,1
EVT00000088,PAY0000023,PaymentCaptured,Authorized,Captured,2025-10-17 22:39:00,201,Payment captured,2
EVT00000089,PAY0000023,PaymentSettled,Captured,Settled,2025-10-17 22:41:00,202,Settlement completed,3
EVT00000090,PAY0000024,PaymentCreated,NULL,Created,2024-11-28 01:14:00,100,Payment initiated,0
EVT00000091,PAY0000024,PaymentAuthorized,Created,Authorized,2024-11-28 01:16:00,200,Authorization successful,1
EVT00000092,PAY0000024,PaymentCaptured,Authorized,Captured,2024-11-28 01:18:00,201,Payment captured,2
EVT00000093,PAY0000024,PaymentSettled,Captured,Settled,2024-11-28 01:20:00,202,Settlement completed,3
