payment_id,merchant_id,customer_id,invoice_id,gateway_id,payment_method_id,amount,currency,payment_status,payment_reference,initiated_at,completed_at,processing_time_ms
PAY0000001,MER000070,CUS000023,INV0000026,GTW019,PM014,4265,INR,Captured,TXN100000000,2024-10-08 07:14:00,2024-10-08 07:16:00,394
PAY0000002,MER000070,CUS000108,INV0000239,GTW008,PM015,77336,INR,Captured,TXN100000001,2025-06-01 19:01:00,2025-06-01 19:13:00,2428
PAY0000003,MER000028,CUS000246,INV0000007,GTW011,PM004,12256,INR,Captured,TXN100000002,2024-06-12 22:27:00,2024-06-12 22:30:00,3262
PAY0000004,MER000059,CUS000138,INV0000868,GTW004,PM013,10428,INR,Pending,TXN100000003,2024-12-18 19:16:00,,4672
PAY0000005,MER000006,CUS000170,INV0000644,GTW008,PM010,10558,INR,Captured,TXN100000004,2025-09-25 11:36:00,2025-09-25 11:38:00,7156
PAY0000006,MER000021,CUS000095,INV0000104,GTW012,PM007,87941,INR,Captured,TXN100000005,2025-01-24 08:29:00,2025-01-24 08:35:00,2337
PAY0000007,MER000032,CUS000042,INV0000700,GTW015,PM013,35482,INR,Captured,TXN100000006,2025-10-25 02:38:00,2025-10-25 02:47:00,7730
PAY0000008,MER000008,CUS000059,INV0000571,GTW002,PM011,52681,INR,Pending,TXN100000007,2024-08-12 21:20:00,,2343
PAY0000009,MER000051,CUS000227,INV0000936,GTW015,PM005,34818,INR,Captured,TXN100000008,2025-08-03 22:20:00,2025-08-03 22:28:00,1293
PAY0000010,MER000052,CUS000093,INV0000575,GTW008,PM005,66884,INR,Captured,TXN100000009,2025-07-05 08:47:00,2025-07-05 09:02:00,4192
PAY0000011,MER000055,CUS000153,INV0000049,GTW003,PM013,50119,INR,Captured,TXN100000010,2024-04-22 04:40:00,2024-04-22 04:51:00,5031
PAY0000012,MER000002,CUS000175,,GTW004,PM018,98519,INR,Authorized,TXN100000011,2025-06-25 08:35:00,,2335
PAY0000013,MER000034,CUS000249,INV0000349,GTW017,PM006,66642,INR,Captured,TXN100000012,2024-04-24 09:27:00,2024-04-24 09:28:00,7626
PAY0000014,MER000048,CUS000196,INV0000641,GTW006,PM018,69614,INR,Captured,TXN100000013,2024-11-01 20:32:00,2024-11-01 20:35:00,7674
PAY0000015,MER000040,CUS000062,INV0000332,GTW002,PM008,74464,INR,Authorized,TXN100000014,2025-05-15 00:07:00,,7907
PAY0000016,MER000017,CUS000169,INV0000750,GTW016,PM018,21743,INR,Captured,TXN100000015,2025-05-12 02:48:00,2025-05-12 02:51:00,2321
PAY0000017,MER000026,CUS000183,INV0000622,GTW010,PM013,88139,INR,Captured,TXN100000016,2025-03-09 06:59:00,2025-03-09 07:11:00,5473
PAY0000018,MER000044,CUS000006,INV0000922,GTW019,PM018,30261,INR,Captured,TXN100000017,2025-06-13 14:07:00,2025-06-13 14:09:00,4970
PAY0000019,MER000043,CUS000019,INV0000073,GTW017,PM008,36600,INR,Captured,TXN100000018,2025-10-08 01:14:00,2025-10-08 01:15:00,5630
PAY0000020,MER000061,CUS000063,INV0000553,GTW016,PM014,25057,INR,Authorized,TXN100000019,2024-05-15 23:59:00,,922
PAY0000021,MER000007,CUS000173,INV0000442,GTW004,PM002,52872,INR,Captured,TXN100000020,2024-12-28 13:26:00,2024-12-28 13:38:00,6115
PAY0000022,MER000018,CUS000109,INV0000883,GTW006,PM009,60737,INR,Captured,TXN100000021,2024-04-21 07:12:00,2024-04-21 07:20:00,2196
PAY0000023,MER000013,CUS000013,,GTW018,PM001,12324,INR,Authorized,TXN100000022,2024-03-18 14:51:00,,7738
PAY0000024,MER000052,CUS000232,INV0000243,GTW002,PM006,49772,INR,Captured,TXN100000023,2024-06-19 13:31:00,2024-06-19 13:45:00,167
PAY0000025,MER000063,CUS000040,,GTW007,PM010,28634,INR,Captured,TXN100000024,2024-09-28 14:18:00,2024-09-28 14:30:00,629
PAY0000026,MER000062,CUS000129,INV0000556,GTW017,PM006,7555,INR,Captured,TXN100000025,2024-03-03 23:20:00,2024-03-03 23:30:00,4310
PAY0000027,MER000052,CUS000031,INV0000191,GTW019,PM008,75980,INR,Failed,TXN100000026,2024-03-11 19:04:00,2024-03-11 19:08:00,5020
PAY0000028,MER000034,CUS000053,INV0000084,GTW011,PM008,34914,INR,Captured,TXN100000027,2025-03-05 21:37:00,2025-03-05 21:43:00,3392
PAY0000029,MER000010,CUS000003,INV0000661,GTW015,PM020,73892,INR,Authorized,TXN100000028,2024-11-03 14:20:00,,969
PAY0000030,MER000009,CUS000226,INV0000219,GTW008,PM012,37453,INR,Authorized,TXN100000029,2025-06-02 08:08:00,,1442
PAY0000031,MER000039,CUS000239,INV0000557,GTW004,PM005,34764,INR,Failed,TXN100000030,2024-11-05 19:51:00,2024-11-05 19:52:00,1095
PAY0000032,MER000044,CUS000053,,GTW009,PM017,64132,INR,Captured,TXN100000031,2025-07-20 04:17:00,2025-07-20 04:21:00,2207
PAY0000033,MER000006,CUS000001,,GTW011,PM005,83607,INR,Captured,TXN100000032,2024-02-22 02:40:00,2024-02-22 02:45:00,2295
