refund_id,payment_id,merchant_id,refund_amount,refund_reason,refund_status,requested_at,completed_at
REF000001,PAY0001310,MER000015,6817,Duplicate Payment,Approved,2024-01-26 23:17:00,2024-01-28 10:17:00
REF000002,PAY0001210,MER000055,1839,Order Cancelled,Approved,2024-02-02 00:05:00,2024-02-06 09:05:00
REF000003,PAY0001467,MER000070,10563,Pricing Error,Completed,2025-03-05 07:28:00,2025-03-05 19:28:00
REF000004,PAY0000697,MER000036,6438,Fraud Suspected,Completed,2024-06-08 06:48:00,2024-06-08 12:48:00
REF000005,PAY0000705,MER000034,36278,Service Unavailable,Completed,2024-02-14 23:29:00,2024-02-18 00:29:00
REF000006,PAY0001288,MER000047,43436,Order Cancelled,Requested,2025-08-14 06:45:00,
REF000007,PAY0000593,MER000011,10759,Fraud Suspected,Approved,2024-08-26 03:24:00,2024-08-31 08:24:00
REF000008,PAY0000728,MER000027,40020,Product Returned,Completed,2025-11-17 08:44:00,2025-11-22 09:44:00
REF000009,PAY0001094,MER000032,36600,Order Cancelled,Approved,2024-06-16 14:24:00,2024-06-22 01:24:00
REF000010,PAY0001403,MER000042,20773,Pricing Error,Requested,2024-02-27 07:52:00,
REF000011,PAY0000549,MER000009,32817,Pricing Error,Completed,2024-08-04 18:56:00,2024-08-06 04:56:00
REF000012,PAY0001317,MER000059,17319,Pricing Error,Approved,2024-05-26 08:08:00,2024-05-30 16:08:00
REF000013,PAY0001196,MER000052,3187,Duplicate Payment,Completed,2025-01-05 07:08:00,2025-01-05 19:08:00
REF000014,PAY0000314,MER000021,25109,Technical Issue,Requested,2025-11-27 13:38:00,
REF000015,PAY0001084,MER000033,49309,Service Unavailable,Completed,2025-07-20 00:43:00,2025-07-25 08:43:00
REF000016,PAY0001313,MER000044,47264,Service Unavailable,Approved,2024-04-24 09:27:00,2024-04-24 20:27:00
REF000017,PAY0001026,MER000023,40009,Order Cancelled,Completed,2025-06-03 03:55:00,2025-06-08 11:55:00
REF000018,PAY0000314,MER000048,21343,Technical Issue,Completed,2024-06-14 17:49:00,2024-06-15 02:49:00
REF000019,PAY0000040,MER000015,37282,Duplicate Payment,Requested,2025-01-06 09:15:00,
REF000020,PAY0000176,MER000063,43337,Technical Issue,Requested,2024-03-11 17:49:00,
REF000021,PAY0001126,MER000022,49597,Order Cancelled,Completed,2024-09-28 16:55:00,2024-09-30 00:55:00
REF000022,PAY0001461,MER000040,8030,Order Cancelled,Completed,2025-02-12 21:41:00,2025-02-17 04:41:00
REF000023,PAY0000461,MER000009,571,Duplicate Payment,Completed,2024-12-12 00:37:00,2024-12-16 03:37:00
REF000024,PAY0001450,MER000008,21754,Duplicate Payment,Requested,2024-08-22 02:57:00,
REF000025,PAY0001053,MER000031,37523,Technical Issue,Approved,2024-10-12 21:31:00,2024-10-14 08:31:00
REF000026,PAY0000498,MER000061,28349,Fraud Suspected,Requested,2025-02-20 06:06:00,
REF000027,PAY0000868,MER000053,4072,Pricing Error,Completed,2025-04-23 23:03:00,2025-04-29 00:03:00
REF000028,PAY0001492,MER000044,27748,Product Returned,Approved,2024-04-21 07:12:00,2024-04-24 09:12:00
REF000029,PAY0000571,MER000060,3415,Customer Request,Completed,2024-09-12 02:28:00,2024-09-16 03:28:00
REF000030,PAY0000192,MER000031,10889,Pricing Error,Completed,2024-06-19 13:31:00,2024-06-22 13:31:00
REF000031,PAY0000005,MER000050,36522,Technical Issue,Completed,2024-09-28 14:18:00,2024-10-04 02:18:00
REF000032,PAY0000318,MER000025,49119,Fraud Suspected,Completed,2024-10-30 06:03:00,2024-11-03 06:03:00
REF000033,PAY0000118,MER000007,3827,Duplicate Payment,Completed,2025-08-21 15:32:00,2025-08-25 17:32:00
REF000034,PAY0000381,MER000009,37434,Order Cancelled,Completed,2025-09-01 02:43:00,2025-09-04 03:43:00
REF000035,PAY0001186,MER000006,20833,Service Unavailable,Completed,2025-09-26 02:26:00,2025-09-30 10:26:00
REF000036,PAY0000419,MER000041,42403,Service Unavailable,Requested,2024-09-01 08:25:00,
REF000037,PAY0000937,MER000041,4901,Order Cancelled,Completed,2024-03-15 00:29:00,2024-03-19 01:29:00
REF000038,PAY0001037,MER000034,16109,Fraud Suspected,Requested,2024-05-15 11:56:00,
REF000039,PAY0000584,MER000021,612,Service Unavailable,Completed,2025-03-24 17:45:00,2025-03-30 01:45:00
REF000040,PAY0001359,MER000014,10287,Service Unavailable,Completed,2024-05-17 08:07:00,2024-05-22 16:07:00
REF000041,PAY0000578,MER000027,32116,Service Unavailable,Completed,2024-12-17 06:43:00,2024-12-19 14:43:00
